score	text
13749	My 8 year old pulled this on me Daughter: Dad, are you smart? Me: Yes. Daughter: Spell it. Me: S-M-A-R-T Daughter: You said you're smart but you can't even spell the word "it." She got me good.
13667	As a lumberjack, I know that I've cut exactly 2,417 trees. I know because every time I cut one, I keep a log.
13548	I just had a near sex experience. My wife flashed before my eyes.
13496	A man came up to me and said "Man, your clothes look gay". I said "I know, they came out of the closet this morning".
13487	Stopped by a roadside stand that said lobster tails $2. I paid my $2 and he said... Once upon a time there was this lobster...
13255	[Warning]: 18+ 19.
13237	My son told me he didn't understand cloning. I told him, 'that makes two of us'.
12924	I told my son people keep accidentally pleading for me to purchase meat for them. He asked, "By mistake?" I shouted, "Oh come on! Not you too!"
12916	I dated a communist once. I had no idea. She seemed sweet. But it did NOT end well Honestly I should have noticed all the red flags
12823	Whenever the cashier at the grocery store asks my dad if he would like the milk in a bag he replies, "No, just leave it in the carton! " P. S. thanks for the 4 people who sort by new. appreciate it.
12790	I told my son I was named after Thomas Jefferson... He said, "But dad, your name is Brian." I said, "I know, but I was named AFTER Thomas Jefferson."
12708	What do you call a hen who counts her eggs? A mathemachicken
12694	I just saw my wife walk by with her sexiest underwear on, which can only mean one thing. It's laundry day.
12679	I had a vasectomy because I didn't want any kids. When I got home, they were still there.
12673	Why did the Mexican take a Xanax? For Hispanic attacks
12649	"Officer, are you crying while you are writing me a ticket?" Cop: It's a...moving violation.
12595	I love telling dad jokes. Sometimes he laughs.
12479	Why do the Hong Kong police wake up early? To beat the crowd.
12417	What did the pirate say on his 80th birthday? AYE MATEY
12304	My wife told me to take a spider out instead of killing it. We went out and had beers. Cool guy, very driven, wants to be a web designer.
12163	My dad banned me from saying "Hell", so I asked: "Have you thought of any alternative names for hell?" He said: "I heaven't"
12151	Doctor: Your brain seems to have deleted all information about 80s music! Me: Yikes! What is The Cure? Doctor: Oh my God. It is worse than I thought!
12100	The secret service isn't allowed to yell "Get down!" anymore when the president is about to be attacked now they have to yell "Donald, duck!"
12092	Why is the letter B so cool? Because it's sitting in the middle of the AC
12050	A man in an interrogation room says, "I'm not saying a word without my lawyer present!" The cop growls, "You ARE the lawyer!" The lawyer shrieks, "Exactly! So where's my present?!"
12034	Why Is Dark Spelled With A K and Not A C Because you can't c in the dark
12011	My wife told me I was terrible with directions So I packed up my things and right
11989	Why is Pavlov's hair so soft? Because he conditions it.
11989	A lumberjack went in to a magic forest to cut a tree. Upon arrival, he started to swing at the tree, when it shouted, "Wait! I'm a talking tree!" The lumberjack grinned, "And you will dialogue!"
11966	There's a snow storm warning for NY, including Wall Street. What a terrible time for shorts.
11966	When I was younger, I felt like a man trapped in a woman's body ... Then I was born
11960	My wife to our son, "Go brush your teeth with your sister" Me from the other room, "No, use a toothbrush".
11910	Dads are like Boomerangs. I hope.
11909	My missus asked Siri. "Surely it's not going to rain today?" Siri said "Yes it will rain, and don't call me Shirley". I think she forgot to take her phone off Airplane mode.
11887	As we were driving down the road, "Sweet Caroline" came on the radio. I said to my son, "Little known fact, Neil Diamond used to be called Neil Coal." "Until the pressure got to him."
11877	I think my wife is secretly putting glue on my antique weapon collection. She denies it, but I'm sticking to my guns.
11851	I met some chess players in the hotel lobby. They were bragging about how good they are. It was Chess nuts boasting in an open foyer.
11836	My son asks me, "What does gay mean?" Me: "It means 'happy," Son: "Oh, so are you gay, then?" Me: "No, son, I have a wife."
11826	Dad jokes are the best and here's why Why
11762	When you're in California, make sure your mechanic uses a state flag to check your oil. Then you'll get a "Super Cali-Flagger Dipstick Expert Diagnosis."
11700	Today I learnt that humans eat more bananas than monkeys I can't remember the last time I ate a monkey
11680	Chris: Hey can I borrow a ten? Kristen: Sure! Christen: thank you Kris: Anytime
11651	Did you know there's no official training for a garbage collector? They just pick it up as they go.
11631	Shout out to the people asking what the opposite of in is. &gt;
11614	What noise does a 747 make when it bounces? Boeing, Boeing, Boeing.
11564	Got my girlfriend with this earlier we're heading through grocery store checkout. She looks over at the candies and says "Ooh! Mentos!" "I already have Mentos." "Really? Where?" "On my men feet!"
11508	What's the 9 letters of the pirate alphabet? (CORNY ALERT) R, I, and the seven c's (Say aloud) XD this made me laugh, hope it brightens your day
11438	My wife said "nothing rhymes with orange" I said "No it doesn't"
11431	My wife asked me "what starts with f and ends with k" I said "No, it doesn't".
11361	My son asked me what an updog was. I told him it was an older version of a henway. "What's a henway?" My son asked. "About 5 pounds" I replied.
11355	My drunk friend was kicked out of Karaoke for singing "Danger Zone" 7 times in a row. He had exceeded the maximum number of Loggins attempts.
11343	The guy who stole my diary died yesterday. My thoughts are with his family.
11324	NASCAR bans the confederate flag? Finally a turn in the right direction.
11268	How do you get a farm girl to like you? A tractor
11257	I think it's weird that we call childbirth delivery. It should have been called takeout instead.
11198	So the doctor sat me down and gently revealed to me me that my child is a boy trapped in a girls body... ...Until my wife gives birth that is. Only three more months to go!
11196	My mailman got a sex change. I guess you'd call him a post-man now.
11133	The school phoned me today and said, "Your son's has been telling lies. " I replied, "Tell him, he's bloody good. I don't have any kids."
11114	Cop: I'm arresting you for illegally downloading the entire Wikipedia! Man: Wait, I can explain everything!
11105	Today I learned that if you're in a canoe and it flips over in water... ....you can safely wear it on your head... because it's capsized.
11065	How many volunteers do we have for my evil army? King: How many volunteers do we have for my evil army? Squire: 384 my liege K: Ok, round them up S: 400 my liege
11042	I went to the shooting range for the first time and couldn't get my gun to fire. Now I have to read the trouble shooting section in the manual.
11017	Looks like October is... Octover
11007	The Fast and The Furious 10 title should be dedicated to Paul Walker Fast 10: Your Seatbelts
10981	Two women were sharing the same ID card Sharon is Karen
10975	Doctor: "Sir, I'm afraid your DNA is backwards" Me: "And?"
10961	My wife gave me an ultimatum. It was either her or my addiction to sweets. The decision was a piece of cake.
10955	My wife is threatening to leave me because I'm addicted to wearing a new T-shirt every half an hour. I said, "Wait! I can change!"
10939	People always ask where I got my incredibly detailed tattoo done, but they never believe me when I tell them Spain. Nobody expects the Spanish ink precision.
10925	If you've heard of Murphy's law, which is that anything that can go wrong will go wrong, then have you heard of Cole's law? It's thinly sliced cabbage
10867	My wife just accused me of having zero empathy. I don't understand how she can feel that way.
10837	My sister bet me $15 that i couldn't build a car out of spaghetti. You should have seen the look on her face as i drove pasta.
10784	Thanks for explaining the word "many" to me. It means a lot.
10783	Instead of a swear jar I have a negativity jar. Everytime I have a pessimistic thought I put a dollar in it. It's half empty.
10721	I'm trying to convince my wife that I want a Segway for my birthday. But every time I bring it up, she changes the topic.
10677	My wife said, "Nothing rhymes with orange" I said no
10672	My dad died on 02/19/18, this joke came to me while signing paperwork at the funeral home... What do they call the best salesman at a funeral home? The Top Urner
10598	Robin: "The Batmobil isn't starting!" Batman: "Did you charge the battery?" Robin: "What the hell is a tery?"
10561	I wasn't expecting to be diagnosed as colour blind. It really came out of the purple.
10559	Been a dad 5 mo, so I'm a little new to this... Hit my wife with this one tonight at dinner. Me: Dinner is served as soon as you dress the salad. Wife: What are you thinking? Me: Business casual.
10549	I sat down for dinner at a restaurant, and the waiter asked me, "Do you want to hear today's special?" I said, "Yes please." Waiter: "No problem sir. Today is special."
10519	I got gas today for $1.39. Unfortunately it was at Taco Bell.
10512	[Driving] My wife: Hey, you missed a right. Me: Thanks babe. You Mrs. Right.
10499	What starts with an "O", ends in "nions" and sometimes makes you cry? Opinions.
10466	Why can't your nose be 12 inches long? Because then it'd be a foot!
10420	My son asked me what our IP address was. I pointed to the toilet.
10407	While visiting the museum, I saw my ex girlfriend standing across the hall, but I was too self conscious to say hello. There was just too much history between us.
10371	I always thought it would be difficult to have erectile dysfunction. But it can't be that hard.
10330	(Monday: Greg) (Tuesday: Ian) (Wednesday: Greg) (Thursday: Ian) (Friday: Greg) (Saturday: Ian) (Sunday: Greg) Its the Gregorian calendar
10268	Call me a racist if you want but south of the border is a sea of violence, corruption, and stupidity. I wouldn't touch it with a 10 foot pole. I just thank my lucky stars I live in Canada.
10257	What is the least spoken language in the world? Sign language
10246	I once walked in on my teachers having sex Being homeschooled was never easy for me
10224	What I if told you You read the title wrong.
10175	I've just watched a documentary on marijuana. I think all documentaries should be watched this way.
10173	I'm starting a tattoo business. Women who show their breasts get tattooed for free. I'll call it 'tit for tat".
10169	Why do 9 ants get to live in an apartment for free? Because they're not tenants
10099	People say circumcision doesn't hurt, but i have to disagree. I was circumcised when I was born and I couldn't walk for nearly a year. So check your facts.
10086	"Doc, I think I might have ADHD, because I can't remember where I parked my Ford!" Doctor: That's not how ADHD works. Man: But I keep losing my Focus!
10043	A girl came up to me and said she recognised me from her vegetarian resturaunt. I was a bit confused, I'd never met herbivore.
10041	My grandad was responsible for 28 downed german planes in WW2. Still to this day holds the record as the worst mechanic the Luftwaffe ever had.
9989	I'm looking to sell my Delorean. It's in Great condition, low mileage.. Only driven from time to time!
9971	My wife caught me standing on the bathroom scale, sucking in my stomach... "Ha­­! That's not going to help," she said. "Sure, it does," I said. "It's the only way I can see the numbers."
9969	My friend claims that he "accidentally" glued himself to his autobiography, but I don't believe him. But that's his story, and he's sticking to it.
9964	I finally bought the limited edition Thesaurus from Amazon that I've always wanted. When I opened it, all the pages were blank. I have no words to describe how angry I am.
9950	My wife just accused me of having zero empathy. I just don't understand why she feels that way.
9946	Dad: Hey son did you know that there was a kidnapping at a school today? Son: What happened Father: The teacher woke him up
9941	Mum, dad, I'm gay Mum: *looks at dad* Dad: *clenches fist and sweats* Mum: No, don- Dad: HI GAY I'M DAD
9927	Think of a number between 5 and 15. Multiply by 2, add 3, and subtract 7 from the answer. Now close your eyes. Dark, isn't it?
9893	What does Pac-Man eat with his chips? Guacawakamole.
9880	Mitochondria would be a great prison nickname. They'd be the powerhouse of the cell.
9851	Never date a tennis player Love means nothing to them
9825	I took my new gun to the range to try it out, but somehow it won't work. Now I have to read the trouble shooting section in the manual.
9815	Edgar Allan Poe is about to run into a tree. What do you yell at him? POETRY!
9746	The last 4 letters of "queue" aren't silent They're waiting for their turn
9743	Before we were married, my wife used to clean up my place, and i used to clean hers. Eventually we realized that we were maid for each other.
9737	I was Diagnosed with chronic fear of Giants FeeFiphobia
9731	Are people born with a photographic memory? Or does it take time to develop?
9717	When 2 people have sex, its a twosome. When 3 people have sex, its a threesome Now I know why people call you handsome
9705	Why do dads tell dad jokes? Because they want to see their kids all groan up.
9700	Dad : "I need to call the doctor today." Mom : "Which doctor?" Dad : "No, the regular kind."
9689	What does a house wear? Address
9653	I'm friends with 25 letters of the alphabet I don't know y
9648	I'm still single on Star Wars Day... Apparently I've been looking for love in Alderaan places.
9640	Did you know the first French Fries weren't cooked in France? They were actually cooked in Greece
9634	If I was an injured cat, Me: Ow.
9631	Women are like grenades... Remove the ring and your house is gone.
9604	What's a song that costs 45¢? A song by 50cent ft Nickelback
9595	What do you call someone who can't stop watching films with strong female leads? A heroine addict
9557	My statistics professor told us that the larger the sample size, the more reliable are your averages. The N's justify the means.
9553	Never challenge Death to a pillow fight. Unless you're prepared to handle the reaper cushions.
9536	We should have known communism wouldn't work There were so many red flags.
9531	Interviewer: How do you explain this 4 year gap on your resume? Me: That's when I went to Yale... Interviewer: That's impressive. You are hired. Me: Thanks. I really need this Yob.
9530	When I was a kid, my parents would always say, "Excuse my French" after a swear word... I'll never forget that first day at school when the teacher asked did we know any French...
9491	My wife: Honey, do you think our kids are spoiled? Me: No, I think most of them smell that way.
9487	Is "buttcheeks" one word? Or should I spread them apart?
9467	I've decided to become a math teacher, but I'm only going to teach subtraction. I just want to make a difference.
9464	Scientists record the sound of two helium atoms laughing. HeHe
9460	The guy at the tuxedo store keeps hovering around me, so I asked him to leave me alone. He said, "Fine. Suit yourself."
9441	I only believe in 12.5% of the bible I'm an eighth theist
9418	A slice of apple pie is $2.50 in Jamaica and $3.00 in the Bahamas. These are the pie rates of the Caribbean.
9393	To the person who stole my glasses I will find you, I have contacts
9346	My grandfather keeps telling us that when he dies, we should try to convert his ashes into a diamond. That's a lot of pressure.
9316	A guy just told me that my wife and my daughter look like sisters. I told him, "Well, they were separated at birth."
9307	I checked out r/rareinsults the other day but most insults were actually well done...
9294	I just found out Canada isn't real Turns out it was all mapleleaf
9285	I showed my damaged luggage to a lawyer, and said, "I want to sue the airline!" The lawyer said, "You don't have much of a case."
9284	What do you call karate for amputees? Partial arts
9283	People say circumcision doesn't hurt, but i disagree. i was circumcised when i was born and i couldn't walk for over a year.
9205	I'm on a plane and the lunch choices are: white meat chicken or German sausage. Unfortunately, I'm seated in the last row. I'm hoping for the breast, but preparing for the wurst.
9148	Rest in peace boiling water. You will be mist.
9142	Why is the letter "C" afraid of the rest of the alphabet? Because all the other letters are Not-Cs
9132	What's the longest word in the dictionary? Smiles. Because there's a mile between the two S's. My dad told me this one this morning.
9129	I am suspicious that my wife is secretly adding glue to my weapons collection. She denies it, but I'm sticking to my guns.
9128	What's the difference between a guy with formal wear on a bicycle and a guy with casual wear on a unicycle? Attire
9112	What happens if the average number of bullies at a school goes up?? The mean increases.
9097	Getting my toy drone stuck in the tree isn't the worst thing that happened to me today. But it's definitely up there.
9074	I've got this awful disease where I can't stop telling airport jokes The doctor says it's terminal
9072	Me: this is my house Friend: what's upstairs Me: stairs don't talk
9025	I was arrested the other day for stealing people's electrons. I was heavily charged, despite my victims saying it was an overall positive experience.
9005	My wife asked me to stop singing Wonder wall to her I said maybe
8959	I found out why nurses carry red crayons In case they have to draw blood.
8930	"Help! There's a mysterous force pulling me into the floor!" Wife: "Please get up off the floor and stop embarrassing yourself." Dad: "Honey, do you not understand the gravity of this situation?!"
8912	Two chinese Christians are having a contest to see who can contact God the fastest. After one wins, the other looks at him and says "Well prayed"
8898	Would anyone be interested in being my companion? Asking for a friend.
8881	It's probably not safe for me to be driving this car right now. But hey, bad brakes have never stopped me before.
8862	I saw my ex girlfriend across the museum hall, but I felt too self conscious to go say hello. There was just too much history between us.
8821	I never understood why people dislike vegans so much. I have never had a beef with them.
8820	A weasel walks into a bar. The bartender says, "Wow, I've never served a weasel before. What can I get for you? " "Pop," goes the weasel.
8803	My wife is still mad at me because I accidentally put superglue on her pen a few days ago. She just can't seem to let it go.
8750	Doctor: I'm afraid we've had to remove your colon Me Why?
8736	What do you call a kinky dinosaur? A Doyouhaveasoreass
8718	Just heard about a dwarf who was pickpocketed How could anyone stoop so low?
8717	I'm so upset! Someone stole my limbo stick! I mean how low can you go
8707	Do you know where in a hospital the invisible man can't hide? The I. C. U.
8686	Why did the non-binary prospector head out West? Because there was gold in them/their hills!
8686	My wife yelled at me, telling me to put the toilet seat down... Don't know why I was carrying it around in the first place.
8685	I'm never again donating money to anyone collecting for a marathon. They just take the money and run.
8678	I watched a movie about graphs last night, but I was slightly disappointed. The plot was predictable, and the special f(x) was terrible.
8622	A man is washing his car with his son. The son asks, "Dad, can't you just use a sponge?"
8608	What did 0 say to 8? Nice belt.
8592	What's blue and doesn't weigh very much? Light Blue
8536	The internet connection in my farm was really sketchy, so I moved the modem to the barn. Now I have stable wifi.
8502	I just got fired, and as severance, my company gave me a bag of used coffee. They said it was grounds for termination.
8495	Someone told me my clothes were gay. I said, "Yeah, they came out of the closet this morning."
8465	Know what's remarkable? Whiteboards.
8462	Dad, are we pyromaniacs? Yes, we arson.
8444	My son's math teacher called him average I just think he's mean
8429	My wife first agreed to a date after I gave her a bottle of tonic water. I Schwepped her off her feet.
8412	My Mexican uncle takes anti-anxiety medication. It's for Hispanic attacks.
8410	My grandfather died because the report said he had Type A blood. Unfortunately it was a Type-O.
8404	TIL: A thousand years ago, the boomerang was Australia's chief export. And import.
8401	What's a paedophiles favourite shoes? White vans
8386	I recently started a band called 999 megabytes. We're good but we still haven't gotten a gig yet.
8386	In order to have a murder of crows, there must be probable caws. &amp;#x200B;
8385	I grew facial hair without telling anyone. It's my secret 'stache.
8380	I accidentally swallowed a bunch of scrabble tiles. My next trip to the bathroom could spell disaster.
8349	Why do astronomers put beef in their shampoo? For meatier showers
8339	My wife said that I won't advance in my career because I procrastinate too much. I said, "Oh yeah? Just you wait."
8305	I cooked a medium rare steak for my friend and he said, "I like it well done." I said, "Thanks. That means a lot."
8302	My parents said to me that the world didn't revolve around me. But I'm their sun
8288	A man assaulted me with milk, cream and butter ! How dairy
8274	I came home and saw a note from my wife stuck on the fridge: "I'm sorry. This isn't working. You take things too literally. Goodbye." She will be so happy when she finds out I ordered a new one.
8266	My wife forgot the code to her luggage, but I figured it out. You can say... I solved the case.
8246	Where do crayons go for vacation?? Colorado. (My 8 year old just made it up)
8204	I lost my job at the bank my very first day A woman asked me to check her balance so I pushed her over
8160	A Mexican magician tells the audience he will disappear on the count of three. Uno, dos... *poof*. He disappeared without a tres.
8146	If cardboard had a favorite sport, what would it be? Boxing
8111	My wife yelled, "Hey, the sun's coming out!" So I wore my shorts and flip flops and came downstairs. Found my son holding hand with his boyfriend.
8092	As I put my car in reverse, I thought to myself... "This takes me back."
8062	"Hey dad, have you seen my sunglasses?" "Hey son, have you seen my dadglasses?"
8058	A friend of mine tries to impress girls by drawing realistic paintings of the Ford F-150. He's a pickup artist.
8055	The recipe said, "Set the oven to 180 degrees." Now I can't open the oven, as the door faces the wall.
8025	Why are the North Koreans the best at geometry? Because they've got a Supreme Ruler.
8021	I just got a new job at a prison library. It has its prose and cons.
7983	I accidentally handed my wife a glue stick instead of a chapstick. She still isn't talking to me.
7964	Can't imagine someone not understanding what erectile dysfunction is I mean, it's not very hard.
7929	I found a rock yesterday which measured 1760 yards in length... Must be some kind of milestone...
7911	What do you call a bee who can't make up his mind? A maybe.
7906	I hate it when people say age is only a number Age is clearly a word
7904	Why do fish live in salt water? Because if they lived in pepper water, they would sneeze.
7902	What's a decent Asian stereotype? I like Sony and Yamaha.
7901	Did you know the people in Dubai don't like the flinstones... But the people in Abu Dhabi Do
7871	A platypus walks into a bar owned by a duck. He finishes his drink and asks for his check. Duck billed platypus.
7867	Steve Irwin died the way he lived. With animals in his heart.
7840	Her: Do you think our kids are spoiled? Me: No, I think most kids smell that way.
7827	Dad, showing me his pinky : "Did you know that the Chinese don't have that finger ?" Me : "What ? No." Dad : "wanna know why ?" Me: "yeah" It's because it's MY pinky.
7818	I don't understand why some people use fractions instead of decimals. It's pointless.
7795	Why did the Mexican take anti anxiety medication For Hispanic attacks
7792	How do you say "Sup dawg?" in Japanese? Konichihuahua
7791	My therapist told me that I have trouble interpreting social cues. I think she's in love with me.
7764	My friend asked me if I could name two different structures that hold water. I said, "Well, dam..."
7750	I passed all my courses except for Greek mythology. That has always been my Achilles' elbow.
7749	What do you call a cheap cicumcision? A rip off.
7749	What does a 6'5" butcher weigh? Meat.
7728	Dwayne Johnson paid me to clean up and organize his craft room, but sadly, I lost his scrapbook cutting tool. I lost the Rock's paper scissors.
7726	My dad didn't love me as a child, but I don't really blame him. I wasn't born until he was an adult.
7718	What do you get when you cross Captain America and The Hulk The Star Spangled Banner
7698	A kid lights his house on fire. Dad: *putting arm around his wife, both tearing up* That's arson.
7677	My friend asked my daughter, "How old is your father?" "As old as me." she replied. He laughed and asked, "How can *that* be?!" She said, "Well, he didn't become a father until I was born."
7669	Why do cows have hooves instead of feet? Because they lactose.
7667	I keep having this dream about a horse in full battle armor. Actually it's probably more of a knight mare.
7621	The 5 signs of laziness 1.
7602	I married my wife for her looks, but not the ones she's been giving me lately.
7585	Her: You got a vasectomy without talking to me? Are you serious? Him: Yes, I'm not kidding you.
7573	I had a bunch of books fall on me I only have my shelf to blame.
7545	I asked the guy in the store where is the terminator dvd ... He responded, "Aisle B, Back"
7534	My mom hired a handyman and gave him a list. When she got back home, only #1,3 &amp; 5 were completed. Turned out he only does odd jobs.
7532	My wife is furious at our next door neighbor who sunbathes topless in her backyard. Personally, I'm on the fence.
7521	As I handed my dad his 50th birthday card, he looked at me with tears in his eyes and said Y'know, one would have been enough.
7521	For years I've suspected my wife of adding soil to my garden. When I asked her about it, she just shrugged. The plot thickens...
7507	I hate cliffhangers because
7496	Studies show that 4 out of 5 men suffer from diarrhea at some point in their life. Why are 1 out of 5 men enjoying it??
7477	We were watching a documentary on African wildlife, and my son asked me, "Is it difficult to spot cheetahs?" Me: No, I think they come that way.
7448	Why do blind people hate skydiving? It scares the hell out of their dogs.
7439	My dad always told me, "Don't be quick to find faults"... Good man, terrible geologist...
7437	I called work this morning and whispered, "Sorry boss, I can't come in today. I have a wee cough." He exclaimed, "You have a wee cough!?" I said, "Really?! Thanks boss, see you next week!"
7430	When does a joke become a dad-joke? When it's apparent
7420	I said to my son, "There's only one thing about Halloween that scares me." He asked, "Which is?" I replied, "Exactly!"
7385	I bought my friend an elephant for his room. He said, "Thank you." I said, "Don't mention it."
7376	My daughter asked me, "Dad, why is your nose in the middle of your face?" I smirked and replied, "Because it's the scenter."
7373	What is it called when one butt cheek is bigger than the other? Assymmetrical
7356	If two vegans get in an argument is it still considered beef? Told by my 12 year old brother, he got poor reactions from my siblings but I assured him the joke was well done.
7326	Accidentally gave my girlfriend a gluestick instead of chapstick. She still isn't talking to me.
7322	I dig, you dig, we dig, she dig, he dig, they dig. It's not a beautiful poem, but it's very deep.
7299	What do you call an alligator wearing a vest? An investigator
7264	What do you say to a woman who has given birth to members of the military? Thank you for your cervix.
7264	I want to die like my grandpa did, in his sleep. Not screaming like the people in the back seat of his car.
7253	What did the nut say when chasing the other nut? I'm a cashew
7249	Why didn't Elsa see a doctor for her sore throat and cough? Because a cold never bothered her anyway! ~ My youngest son thought of that all by himself! He's a 38-year-old lawyer in Nebraska...
7232	Step 1: Name your dog 5 miles. Step 2: Brag that you walk 5 miles every day
7182	I just saw a friend of mine sweep a girl off her feet. He's quite an aggressive janitor.
7165	I bet none of you will see this one coming 1
7126	"How long have you been chopping wood for?" "Not sure. Let me check the logs."
7121	Alligators can grow up to 15 feet But most have only four
7103	I just read a list of "100 Things To Do Before You Die" and I was quite surprised that... "Yell for help!" wasn't one of them.
7099	My grandfather is 85 and he still doesn't need glasses. He drinks straight from the bottle.
7099	My boy asked me to hand him his sunglasses. I told him I'd do it as soon as he hands me my dadglasses
7088	I hope Elon Musk does not get involved in any major scandal. Because Elon-gate will go on forever.
7043	I went into the local library and asked if they had any books on the Titanic... "Oh yes, quite a few." the librarian said. "Sorry to hear that!" I said laughing. "They'll all be ruined by now!"
7023	What's something a drug dealer would never ask? "Is Pepsi okay?"
6976	Just witnessed this classic on the bus **Passenger:** Which bus are you? **Driver:** I'm not a bus, I'm the driver.
6962	My favourite word is "Drool" It sort of rolls off the tongue
6961	If number 666 is evil, then 25.8069758011 is the root of all evil.
6959	If I were a trumpet player I would constantly borrow other people's trumpets. I'd hate to toot my own horn.
6948	My wife always says the way to a man's heart is through his stomach... Lovely woman. Useless surgeon.
6888	Joseph Stalin should have known communism wouldn't work... I mean seriously, there were red flags everywhere.
6884	To the guy who invented zero: Thanks for nothing.
6883	What did Jay-Z call his girlfriend before they got married? Feyoncé
6871	What does a panda use to make pancakes? A pan...duh
6866	My wife told me to take the spider out instead of killing it... We went and had some drinks. Cool guy. Wants to be a web developer.
6865	I tried to explain to my four-year-old son that it's perfectly normal to accidentally poop your pants... But he's not buying it. In fact, he's still making fun of me.
6865	What do you call a polar bear in the jungle? Lost
6864	SCUBA is an acronym for Self Contained Underwater Breathing Apparatus. What you may not know is that Tuba is also an acronym... For Terrible Underwater Breathing Apparatus
6849	What do you call a 3.14 meter long snake? A πthon
6845	What do you call someone who doesn't fart in public? A private tutor
6832	I admit I was wrong about how good my chiropractor is. I stand corrected.
6802	A man says to a werewolf, "You're a werewolf." The werewolf says, "I'm awere."
6798	Did you hear about the guy who dipped his ballsack in glitter? Pretty Nuts.
6795	Oops.. I just broke two of my dad's old Queen records Now I want break three
6784	My wife is furious at me for buying an expensive make-your-own-perfume kit. But it just made scents to me.
6774	Police in my town are looking for a crazy man. He was last seen trying to have sex with the laundry machine. Nut screws washer and bolts.
6757	If a blue bird has blue babies, and a black bird has black babies, what kind of bird has no babies? A swallow.
6756	My boss said to me, "you're the worst train driver ever. How many have you derailed this year?" I said, "I'm not sure; it's hard to keep track."
6755	I saw a sign that said 'do not touch', however there was something weird about the sign.... I couldn't put my finger on it....
