Jenny_Holzer	work-money	quip	general	0	A lot of professionals are crackpots.
Jenny_Holzer	life	wisdom	general	0	IT IS IN YOUR SELF-INTEREST / TO FIND A WAY / TO BE VERY TENDER
Jenny_Holzer	life	dark	general	0	IT'S AN EXTRAORDINARY FEELING WHEN PART OF YOUR BODY ARE TOUCHED FOR THE FIRST TIME. I'M THINKING OF THE SENSATIONS FROM SEX AND SURGERY.
Jenny_Holzer	love	uplifting	general	0	IT'S NICE WHEN YOU DECIDE TO LIKE SOMEONE AND, WITHOUT DECLARING YOURSELF, DO WHAT'S POSSIBLE TO FURTHER HIS HAPPINESS. THIS CAN TAKE THE FORM OF GIFTS, LOVELY FOOD, PUBLICITY, OR ADVANCED WARNING.
Jenny_Holzer	life	dark	general	0	IT'S NO FUN WATCHING PEOPLE WOUND THEMSELVES SO THAT THEY CAN HOLE UP, NURSE THEMSELVES BACK TO HEALTH, AND REPEAT THE CYCLE. THEY DON'T KNOW WHAT ELSE TO DO.
Jenny_Holzer	life	observation	general	0	Ideals are replaced by conventional goals at a certain age.
Jenny_Holzer	society	quip	general	0	If you behaved nicely, the communists wouldn't exist.
Jenny_Holzer	life	uplifting	general	0	In a dream you saw a way to survive and you were full of joy.
Jenny_Holzer	life	wisdom	general	0	Knowing yourself lets you understand others.
Jenny_Holzer	life	dark	general	0	MORE THAN ONCE I'VE AWAKENED WITH TEARS RUNNING DOWN MY CHEEKS. I HAVE HAD TO THINK WHETHER I WAS CRYING OR WHETHER IT IS INVOLUNTARY, LIKE DROOLING.
Jenny_Holzer	life	quip	general	0	OBVIOUSLY YOU STRIKE OUT AGAINST PEOPLE WITHIN RANGE. IT'S CATHARTIC TO AFFECT SOMEONE WHEN YOU'RE ANGRY. ALTERNATIVELY, CHOOSE ENEMIES IMPOSSIBLY FAR AWAY SO YOU NEVER HAVE TO FIGHT.
Jenny_Holzer	society	aphorism	general	0	Raise boys and girls the same way.
Jenny_Holzer	life	observation	general	0	SOME DAYS YOU WAKE AND IMMEDIATELY START TO WORRY. NOTHING IN PARTICULAR IS WRONG, ITS JUST THE SUSPICION THAT FORCES ARE ALIGNING QUIETLY AND THERE WILL BE TROUBLE.
Jenny_Holzer	life	observation	general	0	SOME PEOPLE LIKE TO NIBBLE ON THE INSIDES OF THEIR OWN CHEEKS. IV'E SEEN AN OTHERWISE LOVELY GIRL CONTORT HER FACE TO REACH A FAVORITE SPOT. THERE ARE BIT LINES WHERE REPEATED NIPS HAVE BUILT RIDGES OF SCAR TISSUE.
Jenny_Holzer	life	observation	general	0	SPIT ALL OVER SOMEONE WITH A MOUTHFUL OF MILK IF YOU WANT TO FIND OUT SOMETHING ABOUT THEIR PERSONALITY FAST.
Jenny_Holzer	life	wisdom	general	0	Savor kindness because cruelty is always possible later.
Jenny_Holzer	life	dark	general	0	She has no taste left to her and this makes it easier for me. The color of her where she is inside is enough to make me kill her.
Jenny_Holzer	life	observation	general	0	Someone else's body is a place for your mind to go.
Jenny_Holzer	life	dark	general	0	THE FOND OLD COUPLE WAS DISAPPEARING TOGETHER THROUGH SUCCESSIVE AMPUTATIONS.
Jenny_Holzer	nature	quip	general	0	THE IMPULSE IS TO SQUEEZE AND FONDLE BABY WILD ANIMALS BUT THEN THEY'D BE BROKEN AND WHAT GOOD WOULD THEY BE?
Jenny_Holzer	life	wisdom	general	0	THERE IS A PERIOD WHEN IT IS CLEAR THAT YOU HAVE GONE WRONG BUT YOU CONTINUE. SOMETIMES THERE IS A LUXURIOUS AMOUNT OF TIME BEFORE ANYTHING BAD HAPPENS.
Jenny_Holzer	life	observation	general	0	THERE'S NO REASON TO SLEEP CURLED UP AND BENT. IT'S NOT COMFORTABLE, IT'S NOT GOOD FOR YOU, AND IT DOESN'T PROTECT YOU FROM DANGER. IF YOU'RE WORRIED ABOUT AN ATTACK YOU SHOULD STAY AWAKE OR SLEEP LIGHTLY WITH LIMBS UNFURLED FOR ACTION.
Jenny_Holzer	life	wisdom	general	0	Turn soft and lovely anytime you have the chance.
Jenny_Holzer	life	dark	general	0	WHAT A SHOCK WHEN THEY TELL YOU IT WON'T HURT AND YOU ALMOST TURN INSIDE OUT WHEN THEY BEGIN.
Jenny_Holzer	life	observation	general	0	WHEN YOU'RE TRYING SOMETHING NEW, YOU'RE TORN BETWEEN ANTICIPATING A DELIGHTFUL SURPRISE AND THINKING YOU'RE A FOOL TO IGNORE WHAT YOU KNOW YOU LIKE.
Jenny_Holzer	life	quip	general	0	WITH BLEEDING INSIDE THE HEAD THERE IS A METALLIC TASTE AT THE BACK OF THE THROAT.
Jenny_Holzer	life	dark	general	0	When you start liking pain things start to get interesting.
Jenny_Holzer	life	quip	general	0	With all the holes in you already there's no reason to define the outside environment as alien.
Jenny_Holzer	life	dark	general	0	With you inside me comes the knowledge of my death.
Jenny_Holzer	life	wisdom	general	0	YOU SHOULD LIMIT THE NUMBER OF TIMES YOU ACT AGAINST YOUR NATURE, LIKE SLEEPING WITH PEOPLE YOU HATE. ITS INTERESTING TO TEST YOUR CAPABILITIES FOR A WHILE BUT TOO MUCH WILL CAUSE DAMAGE.
Jenny_Holzer	life	aphorism	general	0	You are a victim of the rules you live by.
Jenny_Holzer	life	quip	general	0	You confuse me with something that is in you. I will not predict how you want to use me.
